description,systemID
"Unexpected element &quot;fig&quot;. The content of the parent element type must match &quot;(tp:treatment-meta?,tp:nomenclature,(tp:treatment-sec|tp:taxon-treatment)*,ref-list?)&quot;.",C:\Users\Terry\Github\ggxml2taxpub-treatments\intermediate\2C0487DFFFA5FFDFF7FF5F51015DFB02_tp.xml
Unexpected element &quot;table&quot;. The content of the parent element type must match &quot;(email|ext-link|uri|inline-supplementary-material|related-article|related-object|address|alternatives|array|boxed-text|chem-struct-wrap|code|fig|fig-group|graphic|media|preformat|supplementary-material|table-wrap|table-wrap-group|disp-formula|disp-formula-group|citation-alternatives|element-citation|mixed-citation|nlm-citation|bold|fixed-case|italic|monospace|overline|roman|sans-serif|sc|strike|underline|ruby|award-id|funding-source|open-access|chem-struct|inline-formula|inline-graphic|private-char|def-list|list|tex-math|mml:math|abbrev|milestone-end|milestone-start|named-content|styled-content|tp:taxon-name|tp:descriptive-statement|tp:material-citation|disp-quote|speech|statement|verse-group|fn|target|xref|sub|sup)&quot;.,C:\Users\Terry\Github\ggxml2taxpub-treatments\intermediate\2C0487DFFFA5FFDFF7FF5F51015DFB02_tp.xml
Unexpected element &quot;table&quot;. The content of the parent element type must match &quot;(email|ext-link|uri|inline-supplementary-material|related-article|related-object|address|alternatives|array|boxed-text|chem-struct-wrap|code|fig|fig-group|graphic|media|preformat|supplementary-material|table-wrap|table-wrap-group|disp-formula|disp-formula-group|citation-alternatives|element-citation|mixed-citation|nlm-citation|bold|fixed-case|italic|monospace|overline|roman|sans-serif|sc|strike|underline|ruby|award-id|funding-source|open-access|chem-struct|inline-formula|inline-graphic|private-char|def-list|list|tex-math|mml:math|abbrev|milestone-end|milestone-start|named-content|styled-content|tp:taxon-name|tp:descriptive-statement|tp:material-citation|disp-quote|speech|statement|verse-group|fn|target|xref|sub|sup)&quot;.,C:\Users\Terry\Github\ggxml2taxpub-treatments\intermediate\2C0487DFFFA5FFDFF7FF5F51015DFB02_tp.xml
Unexpected element &quot;table&quot;. The content of the parent element type must match &quot;(email|ext-link|uri|inline-supplementary-material|related-article|related-object|address|alternatives|array|boxed-text|chem-struct-wrap|code|fig|fig-group|graphic|media|preformat|supplementary-material|table-wrap|table-wrap-group|disp-formula|disp-formula-group|citation-alternatives|element-citation|mixed-citation|nlm-citation|bold|fixed-case|italic|monospace|overline|roman|sans-serif|sc|strike|underline|ruby|award-id|funding-source|open-access|chem-struct|inline-formula|inline-graphic|private-char|def-list|list|tex-math|mml:math|abbrev|milestone-end|milestone-start|named-content|styled-content|tp:taxon-name|tp:descriptive-statement|tp:material-citation|disp-quote|speech|statement|verse-group|fn|target|xref|sub|sup)&quot;.,C:\Users\Terry\Github\ggxml2taxpub-treatments\intermediate\2C0487DFFFA5FFDFF7FF5F51015DFB02_tp.xml
Unexpected element &quot;table&quot;. The content of the parent element type must match &quot;(email|ext-link|uri|inline-supplementary-material|related-article|related-object|address|alternatives|array|boxed-text|chem-struct-wrap|code|fig|fig-group|graphic|media|preformat|supplementary-material|table-wrap|table-wrap-group|disp-formula|disp-formula-group|citation-alternatives|element-citation|mixed-citation|nlm-citation|bold|fixed-case|italic|monospace|overline|roman|sans-serif|sc|strike|underline|ruby|award-id|funding-source|open-access|chem-struct|inline-formula|inline-graphic|private-char|def-list|list|tex-math|mml:math|abbrev|milestone-end|milestone-start|named-content|styled-content|tp:taxon-name|tp:descriptive-statement|tp:material-citation|disp-quote|speech|statement|verse-group|fn|target|xref|sub|sup)&quot;.,C:\Users\Terry\Github\ggxml2taxpub-treatments\intermediate\2C0487DFFFA5FFDFF7FF5F51015DFB02_tp.xml
Unexpected element &quot;table&quot;. The content of the parent element type must match &quot;(email|ext-link|uri|inline-supplementary-material|related-article|related-object|address|alternatives|array|boxed-text|chem-struct-wrap|code|fig|fig-group|graphic|media|preformat|supplementary-material|table-wrap|table-wrap-group|disp-formula|disp-formula-group|citation-alternatives|element-citation|mixed-citation|nlm-citation|bold|fixed-case|italic|monospace|overline|roman|sans-serif|sc|strike|underline|ruby|award-id|funding-source|open-access|chem-struct|inline-formula|inline-graphic|private-char|def-list|list|tex-math|mml:math|abbrev|milestone-end|milestone-start|named-content|styled-content|tp:taxon-name|tp:descriptive-statement|tp:material-citation|disp-quote|speech|statement|verse-group|fn|target|xref|sub|sup)&quot;.,C:\Users\Terry\Github\ggxml2taxpub-treatments\intermediate\2C0487DFFFA5FFDFF7FF5F51015DFB02_tp.xml
An element with the identifier &quot;fig-&quot; must appear in the document.,C:\Users\Terry\Github\ggxml2taxpub-treatments\intermediate\2C0487DFFFA5FFDFF7FF5F51015DFB02_tp.xml
An element with the identifier &quot;ref31457&quot; must appear in the document.,C:\Users\Terry\Github\ggxml2taxpub-treatments\intermediate\2C0487DFFFA5FFDFF7FF5F51015DFB02_tp.xml
An element with the identifier &quot;fig-50--151-250-1943-1967-&quot; must appear in the document.,C:\Users\Terry\Github\ggxml2taxpub-treatments\intermediate\2C0487DFFFA5FFDFF7FF5F51015DFB02_tp.xml
Unexpected element &quot;xref&quot;. The content of the parent element type must match &quot;(tp:taxon-name|tp:nomenclature-citation)&quot;.,C:\Users\Terry\Github\ggxml2taxpub-treatments\intermediate\03A6D248FFA78B11DECBFDFDFD6ED3A0_tp.xml
"Unexpected element &quot;fig&quot;. The content of the parent element type must match &quot;(tp:treatment-meta?,tp:nomenclature,(tp:treatment-sec|tp:taxon-treatment)*,ref-list?)&quot;.",C:\Users\Terry\Github\ggxml2taxpub-treatments\intermediate\03A6D248FFA78B11DECBFDFDFD6ED3A0_tp.xml
An element with the identifier &quot;fig-&quot; must appear in the document.,C:\Users\Terry\Github\ggxml2taxpub-treatments\intermediate\03A6D248FFA78B11DECBFDFDFD6ED3A0_tp.xml
An element with the identifier &quot;ref75598&quot; must appear in the document.,C:\Users\Terry\Github\ggxml2taxpub-treatments\intermediate\03A6D248FFA78B11DECBFDFDFD6ED3A0_tp.xml
An element with the identifier &quot;ref70452&quot; must appear in the document.,C:\Users\Terry\Github\ggxml2taxpub-treatments\intermediate\03A6D248FFA78B11DECBFDFDFD6ED3A0_tp.xml
An element with the identifier &quot;fig-36--189-232-1716-1742-&quot; must appear in the document.,C:\Users\Terry\Github\ggxml2taxpub-treatments\intermediate\03A6D248FFA78B11DECBFDFDFD6ED3A0_tp.xml
An element with the identifier &quot;ref74849&quot; must appear in the document.,C:\Users\Terry\Github\ggxml2taxpub-treatments\intermediate\03A6D248FFA78B11DECBFDFDFD6ED3A0_tp.xml
An element with the identifier &quot;ref74791&quot; must appear in the document.,C:\Users\Terry\Github\ggxml2taxpub-treatments\intermediate\03A6D248FFA78B11DECBFDFDFD6ED3A0_tp.xml
An element with the identifier &quot;ref72283&quot; must appear in the document.,C:\Users\Terry\Github\ggxml2taxpub-treatments\intermediate\03A6D248FFA78B11DECBFDFDFD6ED3A0_tp.xml
An element with the identifier &quot;ref72690&quot; must appear in the document.,C:\Users\Terry\Github\ggxml2taxpub-treatments\intermediate\03A6D248FFA78B11DECBFDFDFD6ED3A0_tp.xml
An element with the identifier &quot;ref69860&quot; must appear in the document.,C:\Users\Terry\Github\ggxml2taxpub-treatments\intermediate\03A6D248FFA78B11DECBFDFDFD6ED3A0_tp.xml
An element with the identifier &quot;ref71744&quot; must appear in the document.,C:\Users\Terry\Github\ggxml2taxpub-treatments\intermediate\03A6D248FFA78B11DECBFDFDFD6ED3A0_tp.xml
Unexpected element &quot;tp:nomenclature-citation-list&quot;. The content of the parent element type must match &quot;(tp:taxon-name|tp:taxon-authority|tp:type-genus|tp:type-species|mixed-citation|xref|tp:material-citation|tp:taxon-status|comment)&quot;.,C:\Users\Terry\Github\ggxml2taxpub-treatments\intermediate\03A6D248FFBF8B65DEC1F9FAFD78D1AA_tp.xml
"Unexpected element &quot;tp:nomenclature-citation&quot;. The content of the parent element type must match &quot;(sec-meta?,label?,title?,(address|alternatives|array|boxed-text|chem-struct-wrap|code|fig|fig-group|graphic|media|preformat|supplementary-material|table-wrap|table-wrap-group|disp-formula|disp-formula-group|def-list|list|tex-math|mml:math|p|related-article|related-object|disp-quote|speech|statement|verse-group)*,tp:treatment-sec*,tp:nomenclature-citation-list*,(fn-group|glossary|ref-list)*)&quot;.",C:\Users\Terry\Github\ggxml2taxpub-treatments\intermediate\03A6D248FFBF8B65DEC1F9FAFD78D1AA_tp.xml
Unexpected element &quot;table&quot;. The content of the parent element type must match &quot;(email|ext-link|uri|inline-supplementary-material|related-article|related-object|address|alternatives|array|boxed-text|chem-struct-wrap|code|fig|fig-group|graphic|media|preformat|supplementary-material|table-wrap|table-wrap-group|disp-formula|disp-formula-group|citation-alternatives|element-citation|mixed-citation|nlm-citation|bold|fixed-case|italic|monospace|overline|roman|sans-serif|sc|strike|underline|ruby|award-id|funding-source|open-access|chem-struct|inline-formula|inline-graphic|private-char|def-list|list|tex-math|mml:math|abbrev|milestone-end|milestone-start|named-content|styled-content|tp:taxon-name|tp:descriptive-statement|tp:material-citation|disp-quote|speech|statement|verse-group|fn|target|xref|sub|sup)&quot;.,C:\Users\Terry\Github\ggxml2taxpub-treatments\intermediate\03A6D248FFBF8B65DEC1F9FAFD78D1AA_tp.xml
"Unexpected element &quot;fig&quot;. The content of the parent element type must match &quot;(tp:treatment-meta?,tp:nomenclature,(tp:treatment-sec|tp:taxon-treatment)*,ref-list?)&quot;.",C:\Users\Terry\Github\ggxml2taxpub-treatments\intermediate\03A6D248FFBF8B65DEC1F9FAFD78D1AA_tp.xml
An element with the identifier &quot;ref73697&quot; must appear in the document.,C:\Users\Terry\Github\ggxml2taxpub-treatments\intermediate\03A6D248FFBF8B65DEC1F9FAFD78D1AA_tp.xml
An element with the identifier &quot;ref74164&quot; must appear in the document.,C:\Users\Terry\Github\ggxml2taxpub-treatments\intermediate\03A6D248FFBF8B65DEC1F9FAFD78D1AA_tp.xml
An element with the identifier &quot;ref74936&quot; must appear in the document.,C:\Users\Terry\Github\ggxml2taxpub-treatments\intermediate\03A6D248FFBF8B65DEC1F9FAFD78D1AA_tp.xml
An element with the identifier &quot;fig-15--189-232-1538-1564-&quot; must appear in the document.,C:\Users\Terry\Github\ggxml2taxpub-treatments\intermediate\03A6D248FFBF8B65DEC1F9FAFD78D1AA_tp.xml
An element with the identifier &quot;ref74849&quot; must appear in the document.,C:\Users\Terry\Github\ggxml2taxpub-treatments\intermediate\03A6D248FFBF8B65DEC1F9FAFD78D1AA_tp.xml
An element with the identifier &quot;ref72376&quot; must appear in the document.,C:\Users\Terry\Github\ggxml2taxpub-treatments\intermediate\03A6D248FFBF8B65DEC1F9FAFD78D1AA_tp.xml
An element with the identifier &quot;ref74305&quot; must appear in the document.,C:\Users\Terry\Github\ggxml2taxpub-treatments\intermediate\03A6D248FFBF8B65DEC1F9FAFD78D1AA_tp.xml
An element with the identifier &quot;fig-14--189-232-1714-1740-&quot; must appear in the document.,C:\Users\Terry\Github\ggxml2taxpub-treatments\intermediate\03A6D248FFBF8B65DEC1F9FAFD78D1AA_tp.xml
An element with the identifier &quot;fig-24--189-232-1962-1988-&quot; must appear in the document.,C:\Users\Terry\Github\ggxml2taxpub-treatments\intermediate\03A6D248FFBF8B65DEC1F9FAFD78D1AA_tp.xml
An element with the identifier &quot;ref72690&quot; must appear in the document.,C:\Users\Terry\Github\ggxml2taxpub-treatments\intermediate\03A6D248FFBF8B65DEC1F9FAFD78D1AA_tp.xml
An element with the identifier &quot;ref74791&quot; must appear in the document.,C:\Users\Terry\Github\ggxml2taxpub-treatments\intermediate\03A6D248FFBF8B65DEC1F9FAFD78D1AA_tp.xml
An element with the identifier &quot;ref69821&quot; must appear in the document.,C:\Users\Terry\Github\ggxml2taxpub-treatments\intermediate\03A6D248FFBF8B65DEC1F9FAFD78D1AA_tp.xml
An element with the identifier &quot;ref70829&quot; must appear in the document.,C:\Users\Terry\Github\ggxml2taxpub-treatments\intermediate\03A6D248FFBF8B65DEC1F9FAFD78D1AA_tp.xml
An element with the identifier &quot;ref72283&quot; must appear in the document.,C:\Users\Terry\Github\ggxml2taxpub-treatments\intermediate\03A6D248FFBF8B65DEC1F9FAFD78D1AA_tp.xml
An element with the identifier &quot;ref75434&quot; must appear in the document.,C:\Users\Terry\Github\ggxml2taxpub-treatments\intermediate\03A6D248FFBF8B65DEC1F9FAFD78D1AA_tp.xml
An element with the identifier &quot;ref70682&quot; must appear in the document.,C:\Users\Terry\Github\ggxml2taxpub-treatments\intermediate\03A6D248FFBF8B65DEC1F9FAFD78D1AA_tp.xml
An element with the identifier &quot;ref73284&quot; must appear in the document.,C:\Users\Terry\Github\ggxml2taxpub-treatments\intermediate\03A6D248FFBF8B65DEC1F9FAFD78D1AA_tp.xml
"Unexpected element &quot;p&quot;. The content of the parent element type must match &quot;(sec-meta?,label?,title?,(address|alternatives|array|boxed-text|chem-struct-wrap|code|fig|fig-group|graphic|media|preformat|supplementary-material|table-wrap|table-wrap-group|disp-formula|disp-formula-group|def-list|list|tex-math|mml:math|p|related-article|related-object|disp-quote|speech|statement|verse-group)*,tp:treatment-sec*,tp:nomenclature-citation-list*,(fn-group|glossary|ref-list)*)&quot;.",C:\Users\Terry\Github\ggxml2taxpub-treatments\intermediate\03A6D248FFC38B34DD73FC0AFC14D373_tp.xml
An element with the identifier &quot;fig-&quot; must appear in the document.,C:\Users\Terry\Github\ggxml2taxpub-treatments\intermediate\03A6D248FFC38B34DD73FC0AFC14D373_tp.xml
An element with the identifier &quot;ref75598&quot; must appear in the document.,C:\Users\Terry\Github\ggxml2taxpub-treatments\intermediate\03A6D248FFC38B34DD73FC0AFC14D373_tp.xml
An element with the identifier &quot;fig-15--189-232-1538-1564-&quot; must appear in the document.,C:\Users\Terry\Github\ggxml2taxpub-treatments\intermediate\03A6D248FFC38B34DD73FC0AFC14D373_tp.xml
An element with the identifier &quot;fig-36--189-232-1716-1742-&quot; must appear in the document.,C:\Users\Terry\Github\ggxml2taxpub-treatments\intermediate\03A6D248FFC38B34DD73FC0AFC14D373_tp.xml
An element with the identifier &quot;fig-102--189-232-1810-1836-&quot; must appear in the document.,C:\Users\Terry\Github\ggxml2taxpub-treatments\intermediate\03A6D248FFC38B34DD73FC0AFC14D373_tp.xml
An element with the identifier &quot;ref73284&quot; must appear in the document.,C:\Users\Terry\Github\ggxml2taxpub-treatments\intermediate\03A6D248FFC38B34DD73FC0AFC14D373_tp.xml
An element with the identifier &quot;ref72283&quot; must appear in the document.,C:\Users\Terry\Github\ggxml2taxpub-treatments\intermediate\03A6D248FFC38B34DD73FC0AFC14D373_tp.xml
An element with the identifier &quot;ref73697&quot; must appear in the document.,C:\Users\Terry\Github\ggxml2taxpub-treatments\intermediate\03A6D248FFC38B34DD73FC0AFC14D373_tp.xml
An element with the identifier &quot;ref72690&quot; must appear in the document.,C:\Users\Terry\Github\ggxml2taxpub-treatments\intermediate\03A6D248FFC38B34DD73FC0AFC14D373_tp.xml
"Unexpected element &quot;fig&quot;. The content of the parent element type must match &quot;(tp:treatment-meta?,tp:nomenclature,(tp:treatment-sec|tp:taxon-treatment)*,ref-list?)&quot;.",C:\Users\Terry\Github\ggxml2taxpub-treatments\intermediate\03A6D248FFCB8B0DDECDFC2DFC66D305_tp.xml
An element with the identifier &quot;fig-&quot; must appear in the document.,C:\Users\Terry\Github\ggxml2taxpub-treatments\intermediate\03A6D248FFCB8B0DDECDFC2DFC66D305_tp.xml
An element with the identifier &quot;fig-15--189-232-1538-1564-&quot; must appear in the document.,C:\Users\Terry\Github\ggxml2taxpub-treatments\intermediate\03A6D248FFCB8B0DDECDFC2DFC66D305_tp.xml
An element with the identifier &quot;fig-36--189-232-1716-1742-&quot; must appear in the document.,C:\Users\Terry\Github\ggxml2taxpub-treatments\intermediate\03A6D248FFCB8B0DDECDFC2DFC66D305_tp.xml
